Name of the student,General behavior and qualities (75),Health and personality (75),Speech and hearing skills (50),Visual acuity and reading skills (70),Writing and motor skills (55),Mathematical ability (45),Memory and cognitive skills (25),Total (395),Percentage,Level,Difficulty
Student 1,65,31,20,44,27,45,15,247,62.53164557,2,Medium
Student 2,50,51,32,50,27,39,21,270,68.35443038,2,Difficult
Student 3,49,35,32,36,35,27,15,229,57.97468354,2,Medium
Student 4,39,39,38,38,23,33,11,221,55.94936709,2,Medium
Student 5,47,43,44,54,45,25,19,277,70.12658228,3,Easy
Student 6,73,43,32,50,35,43,19,295,74.6835443,3,Medium
Student 7,53,37,30,38,33,33,17,241,61.01265823,2,Medium
Student 8,55,39,26,48,43,37,21,269,68.10126582,2,Difficult
Student 9,31,53,38,22,21,23,15,203,51.39240506,2,Easy
Student 10,55,37,38,46,27,25,21,249,63.03797468,2,Difficult
Student 11,51,53,34,44,41,23,13,259,65.56962025,2,Difficult
Student 12,49,49,36,36,19,14,13,216,54.6835443,2,Medium
Student 13,29,43,20,18,17,15,11,153,38.73417722,1,Medium
Student 14,41,42,26,42,33,21,11,216,54.6835443,2,Medium
Student 15,23,33,14,22,15,15,5,127,32.15189873,1,Easy
Student 16,65,31,20,44,27,21,15,223,56.4556962,2,Medium
Student 17,26,35,20,20,21,17,11,150,37.97468354,1,Medium
Student 18,45,45,30,42,33,15,5,215,54.43037975,2,Medium
Student 19,48,45,30,23,33,29,13,221,55.94936709,2,Medium
Student 20,41,47,24,50,29,31,11,233,58.98734177,2,Medium
Student 21,39,35,32,42,32,20,15,215,54.43037975,2,Medium
Student 22,53,39,29,24,25,33,27,230,58.2278481,2,Medium
Student 23,43,47,32,38,33,34,29,256,64.81012658,2,Difficult
Student 24,45,49,30,42,40,29,11,246,62.27848101,2,Medium
Student 25,25,32,25,37,41,20,9,189,47.84810127,2,Easy
Student 26,15,26,14,20,13,13,7,108,27.34177215,1,Easy
Student 27,17,19,14,20,13,11,11,105,26.58227848,1,Easy
Student 28,53,49,32,42,41,37,15,269,68.10126582,2,Difficult
Student 29,59,59,33,48,45,31,19,294,74.43037975,3,Medium
Student 30,65,51,18,46,42,37,11,270,68.35443038,2,Difficult
Student 31,62,53,34,50,35,25,15,274,69.36708861,2,Difficult
Student 32,51,56,38,48,39,31,13,276,69.87341772,2,Difficult
Student 33,63,57,38,58,39,35,21,311,78.73417722,3,Difficult
Student 34,31,27,14,22,15,13,9,131,33.16455696,1,Easy
Student 35,29,39,22,15,15,15,13,148,37.46835443,1,Medium
Student 36,18,24,18,18,15,17,9,119,30.12658228,1,Easy
Student 37,65,51,40,58,39,39,17,309,78.2278481,3,Difficult
Student 38,49,49,32,58,41,35,21,285,72.15189873,3,Easy
Student 39,21,43,16,15,19,13,9,136,34.43037975,1,Easy
Student 40,23,21,13,25,18,17,7,124,31.39240506,1,Easy
Student 41,15,29,14,19,11,9,8,105,26.58227848,1,Easy
Student 42,55,53,36,54,39,31,19,287,72.65822785,3,Easy
Student 43,25,27,18,24,20,15,11,140,35.44303797,1,Medium
Student 44,17,23,24,22,21,17,9,133,33.67088608,1,Easy
Student 45,31,29,26,22,25,27,11,171,43.29113924,1,Difficult
Student 46,27,31,20,32,13,21,13,157,39.74683544,1,Medium
Student 47,35,27,22,26,15,13,11,149,37.72151899,1,Medium
Student 48,27,39,22,36,31,21,9,185,46.83544304,2,Easy
Student 49,29,33,28,20,21,25,13,169,42.78481013,1,Difficult
Student 50,33,31,28,24,25,27,19,187,47.34177215,2,Easy
